,quote,classe,methode of collection,groupe,source URL
39,كما أعطوك حقك في ضعفك فلا تنس حقهما في ضعفهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
40,برّ الأم والأب طريق لدخول الجنة فإذا أردت أن يبرك أبناؤك فبرّ والديك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
41,أظهر التودد لوالديك وحاول إدخال السرور إليهما بكل ما يحبانه منك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
42,إن الوالدين أحق الناس بالمعاملة الحسنة.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
43,إن رضا الله في بر الوالدين.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
44,تسقط الرجولة إذا ارتفع صوتك على من تعب في تربيتك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
45,برّ الوالدين ليس شعارات ترفع إنّما هو تطبيق عملي.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
46,إذا جعلك والداك أميراً مدللاً في صغرك فاجعلهم ملوكاً في كبرك. ,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
47,إن والديك أحسنا إليك في ضعفك وربياك حتّى بلغت أشدك أتقلب لهما ظهرك عند حاجتهما إليك فأحسن إلى من أحسن إليك.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
48,الأب والأم أهم هدية ونعمة من الله يجب أن نحفظها ونرعاها ونحميها لنردها إلى الله رداً جميلاً.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
49,أجمل شعور يمكن أن تشعر به هو إسعاد والديك، فحاول دوماً إدخال البهجة والسرور إلى قلبهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
50,إذا أردت أن يحبك الله، فقم بواجبك نحو أهلك واهتم بهما وراعهما وأحسن إليهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
51,ما تفعله مع والديك سوف يفعله معك أبناءك فيما بعد، فما الطريقة التي تحب أن يعاملك بها أولادك في الكبر؟,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
52,برّ الوالدين أن تبذل لهما ما ملكت، وتطيعهما فيما أمراك ما لم يكن معصية.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
53,حق الوالد أعظم، وبر الوالدة ألزم.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
54,من وقّر أباه طال عمره، ومن وقّر أمه رأى ما يسرّه، ومن أحدَّ النظر إلى والديه عقهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
55,عانت الأم بحمله أثقالاً كثيرة، ولقيت وقت وضعه مزعجات مثيرة، وبالغت في تربيته، وسهرت في مداراته، وأعرضت عن جميع شهواتها، وقدمته على نفسها في كل حال، وقد ضم الأب إلى التسبب في إيجاده محبته بعد وجوده، وشفقته، وتربيته بالكسب له والإنفاق عليه، والعاقل يعرف حق المحسن، ويجتهد في مكافأته، وجهل الإنسان بحقوق المنعم من أخس صفاته، لا سيما إذا أضاف إلى جحد الحق المقابلة بسوء المنقلب، وليعلم البار بالوالدين أنّه مهما بالغ في برهما لم يف بشكرهما. ,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
56,احذروا دعاء الوالدين فإن في دعائهما النماء والانجبار والاستئصال والبوار.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
57,كن باراً بوالديك، ولا تنتظر حتى تضيع الفرصة، فالشعور بفقدان أحدهما سيجعلك تشعر بالندم.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
58,إن في طاعة الوالدين سبب في إطالة العمر وسعة في الرزق .,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
59,العيش ماضٍ فأكرم والديك به والأمّ أولى بإكرام وإحسان وحسبها الحمل والإرضاع تدمنه أمران بالفضل نالا كلّ إنسان.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
60,قلب الأم هوّة عميقة ستجد المغفرة دائما في قاعها.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
61,لما ماتت أم إِياس بن معاوية بكى عليها، فقيل له في ذلك فقال: كان لي بابان مفتوحان إلى الجنة فأغلق أحدهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
62,كل معصية تؤخر عقوبتها بمشيئة الله إلى يوم القيامة إلا العقوق، فإنه يعجل له في الدنيا، وكما تدين تدان.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
63,عليك ببرّ الوالدين كليهما وبرّ ذوي القربى وبرّ الأباعدِ ما في الأسى من تفتت الكبدِ مثل أسى والدٍ على ولدِ.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
64,إن الله تعالى قسّم هذه الحقوق وجعلها مراتب، وأعظم تلك الحقوق الحق العظيم بعد حقّ عبادة الله تعالى وإفراده بالتوحيد، وهو الحقّ الذي ثنّى به سبحانه وما ذكر نبيًّاً من الأنبياء إلاّ وذكر معه هذا الحقّ الذي من أقامه، يكفر الله به السيئات ويرفع الدرجات، ألا وهو الإحسان للوالدين.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
65,أطِعِ الإِله كما أمر واملأ فؤادك بِالحذر وأطِعِ أباك فإِنّه ربّاك مِن عهدِ الصِّغر.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
66,لا ينبغي للابن أن يتضجر منهما ولو بكلمة أف بل يجب الخضوع لأمرهما، وخفض الجناح لهما، ومعاملتهما باللطف والتوقير وعدم الترفع عليهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
67,إن من عظم حق الوالدين أن قرن الله حقهما بحقه في كتابه الكريم.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
68,من حق الوالدين بعد موتهما: الصلاة عليهما، والاستغفار لهما، وإنفاذ عهدهما، وصلة الرحم التي لا توصل إلا بهما، وإكرام صديقهما.,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
69,قال كريم معتوق في حق الأم:,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
70,قال ابن الجوزي في قصيدته زر والديك:,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
73,ذات صلة,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
74, أقوال وحكم عن بر الوالدين,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
75, حكم عن بر الوالدين,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
76,يا من تحت قدميك جنتي: أعذريني أن قصّرت يوماً.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
77,أسهل الطرق لإرضاء ربك، ارضاء والديك.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
78,تسقط الرجولة إذا إرتفع صوتك على من تعب في تربيتك.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
79,برّ الوالدين ليس شعارات ترفع إنما هو تطبيق عملي.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
80,إن برّ الوالدين من أحب الأعمال إلى الله.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
81,أظهر التودد لوالديك.. وحاول إدخال السرور إليهما بكل ما يحبانه منك.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
82,والله.. لو ألنت لها الكلام، وأطعمتها الطعام، لتدخلن الجنة ما اجتنبت الكبائر.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
