,quote,classe,methode of collection,groupe,source URL
31,٤ شعر في بر الوالدين,اﻻحترامُ والتوقيرﱡ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
71,١ حكم قصيرة عن بر الوالدين ,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
72,٢ فيديو رضى الوالدين ,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
98,أيها الابن.. الوالدان بابان - للخير- مفتوحان أمامك فاغتنم الفرصة قبل أن يغلقا.. واعلم أنك مهما فعلت من أنواع ال برّ بوالديك، فلن ترد شيئا من جميلهما عليك.,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85%D8%A9_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86_%D9%82%D8%B5%D9%8A%D8%B1
113,١ عبارات في بر الوالدين,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
114,٢ كلمات السلف في بر الوالدين,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
115,٣ حكم في بر الوالدين,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
116,٤ شعر في بر الوالدين,البِرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A8%D8%B1_%D8%A7%D9%84%D9%88%D8%A7%D9%84%D8%AF%D9%8A%D9%86
156,١ الإيثار,اﻹيثارُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D9%85%D8%A7%D8%AA_%D8%B9%D9%86_%D8%A7%D9%84%D8%A5%D9%8A%D8%AB%D8%A7%D8%B1
157,٢ كلمات عن الإيثار,اﻹيثارُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D9%85%D8%A7%D8%AA_%D8%B9%D9%86_%D8%A7%D9%84%D8%A5%D9%8A%D8%AB%D8%A7%D8%B1
158,٣ خواطر عن الإيثار,اﻹيثارُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D9%85%D8%A7%D8%AA_%D8%B9%D9%86_%D8%A7%D9%84%D8%A5%D9%8A%D8%AB%D8%A7%D8%B1
159,٤ رسائل عن الإيثار,اﻹيثارُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D9%85%D8%A7%D8%AA_%D8%B9%D9%86_%D8%A7%D9%84%D8%A5%D9%8A%D8%AB%D8%A7%D8%B1
160,٥ كلمات عن الإيثار والأنانية,اﻹيثارُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%83%D9%84%D9%85%D8%A7%D8%AA_%D8%B9%D9%86_%D8%A7%D9%84%D8%A5%D9%8A%D8%AB%D8%A7%D8%B1
208,الزمِ الصمتَ إِن أردتَ نجاةً … ليس ضحضاحُ منطقٍ مثل غمرِ.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
209,يخوضُ أناسٌ في الكلامِ ليوجزوا … وللصَّمْتُ في بعض الأحايين أوجزُ,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
210,قد يحسبُ الصمتُ الطويلُ من الفتى … حلماً يوقَّرُ وهو فيه تخلفُ.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
211,ألم ترأن الصمت حلمٌ وحكمةٌ … قليلٌ على ريبِ الحوادثِ فاعلُه.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
212,وللصمتُ خيرٌ من كلامٍ بمأثمٍ … فكنْ صامتاً تسلمْ وإِن قلتَ فاعدلِ.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
213,أطرقْ كأنكَ في الدنيا بلا نظرٍ … واصمُتْ كأنكَ مخلوقٌ بغيرِ فمِ,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
214,عجبتُ لإِدلالِ العييِّ بنفسِه … وصمتِ الذي قد كان بالقَوْلِ أعلما,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
215,استُرِ العي ما استطعْتَ بصمتٍ … إِن في الصمتِ راحةً للصَّموتِ,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
216,أنتَ من الصمتِ آمنُ الزللِ … ومن كثيرِ الكلامِ في وجلِ,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
217,قالوا سكتَّ وقد خوصمتَ قلت لهم … إِن الجوابَ لبابِ الشرِّ مفتاحُ,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
218,وجدْتُ سكوتي متجراً فلزمتهُ … إِذا لم أجدْ ربحاً فلسْتُ بخاسرِ,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
219,إِذا سكتَ الإِنسانُ قَلَّتْ خصومُهُ … وإِن أضجعتهُ الحادثاتُ لجنبِه.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
220,إِن كان ينطقُ ناطقاً من فضةٍ … فالصمت درٌ زانَه الياقوتُ.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
221,إِن القليلَ من الكلامِ بأهلهِ … حَسَنٌ وإِن كثيرَهُ ممقوتُ.,اﻹنصاتُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D9%85%D8%AA
232,١ حكم عن الأمانة,اﻷمانةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%86%D8%A9
233,٢ أبيات شعر عن الأمانة,اﻷمانةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%86%D8%A9
234,٣ حكم عن الصدق,اﻷمانةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%86%D8%A9
235,٤ أبيات شعرية عن الصدق,اﻷمانةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%86%D8%A9
236,٥ فيديو عن الأمانة وآثارها,اﻷمانةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%A3%D9%85%D8%A7%D9%86%D8%A9
337,١ أقوال عن المحبة بين الناس,اﻷُلفةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D9%85%D8%AD%D8%A8%D8%A9_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D9%86%D8%A7%D8%B3
338,٢ حكم عن الحياة والناس,اﻷُلفةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D9%85%D8%AD%D8%A8%D8%A9_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D9%86%D8%A7%D8%B3
339,٣ أقوال عن فعل الخير للناس,اﻷُلفةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D9%85%D8%AD%D8%A8%D8%A9_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D9%86%D8%A7%D8%B3
340,٤ من قصيدة كن بلسما,اﻷُلفةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D9%85%D8%AD%D8%A8%D8%A9_%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D9%86%D8%A7%D8%B3
382,١ حكم جميلة عن التعاون,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
383,٢ حكم جميلة عن التعاون والتسامح,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
384,٣ حكم عن التعاون ومساعدة الآخرين,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
385,٤ أبيات شعر عن التعاون,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
432,١ أمثال عن التعاون,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
433,٢ كلمات عن اللقاء,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
434,٣ فيديو عن آثار التعاون,التعاونُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86
490,١ أقوال في التضحية من أجل الآخرين,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D8%B6%D8%AD%D9%8A%D8%A9_%D9%85%D9%86_%D8%A3%D8%AC%D9%84_%D8%A7%D9%84%D8%A2%D8%AE%D8%B1%D9%8A%D9%86
491,٢ أبيات شعرية عن التضحية من أجل الآخرين,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D8%B6%D8%AD%D9%8A%D8%A9_%D9%85%D9%86_%D8%A3%D8%AC%D9%84_%D8%A7%D9%84%D8%A2%D8%AE%D8%B1%D9%8A%D9%86
492,٣ أقوال عن التضحية في سبيل الحب,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D8%B6%D8%AD%D9%8A%D8%A9_%D9%85%D9%86_%D8%A3%D8%AC%D9%84_%D8%A7%D9%84%D8%A2%D8%AE%D8%B1%D9%8A%D9%86
493,٤ المراجع,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D8%B6%D8%AD%D9%8A%D8%A9_%D9%85%D9%86_%D8%A3%D8%AC%D9%84_%D8%A7%D9%84%D8%A2%D8%AE%D8%B1%D9%8A%D9%86
523,"↑ ""التَّضْحية في واحة الشِّعر""، الدرر السنية، اطّلع عليه بتاريخ 31/1/2022. بتصرّف.
",التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%81%D9%8A_%D8%A7%D9%84%D8%AA%D8%B6%D8%AD%D9%8A%D8%A9_%D9%85%D9%86_%D8%A3%D8%AC%D9%84_%D8%A7%D9%84%D8%A2%D8%AE%D8%B1%D9%8A%D9%86
524,١ أقوال وحكم في حب الوطن,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D9%81%D9%8A_%D8%AD%D8%A8_%D8%A7%D9%84%D9%88%D8%B7%D9%86
525,٢ أقوال وحكم جميلة في حب الوطن أثرها على النفس,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D9%81%D9%8A_%D8%AD%D8%A8_%D8%A7%D9%84%D9%88%D8%B7%D9%86
526,٣ أقوال وحكم في حب والتضحية في سبيل الوطن,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D9%81%D9%8A_%D8%AD%D8%A8_%D8%A7%D9%84%D9%88%D8%B7%D9%86
527,٤ أبيات شعرية في حب الوطن,التضحيةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%AD%D9%83%D9%85_%D9%81%D9%8A_%D8%AD%D8%A8_%D8%A7%D9%84%D9%88%D8%B7%D9%86
576,١ من أقوال الحكماء العرب عن السعادة,التثبت,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%85%D9%86_%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8
577,٢ من أقوال الحكماء العرب عن التعامل مع الآخرين,التثبت,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%85%D9%86_%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8
578,٣ من أقوال الحكماء العرب عن الحياة,التثبت,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%85%D9%86_%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8
579,٤ من أقوال الحكماء العرب عن العلاقة مع الله,التثبت,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%85%D9%86_%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8
580,٥ أقوال قصيرة للحكماء العرب,التثبت,web scrapping, Ahmed Adel,https://mawdoo3.com/%D9%85%D9%86_%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D8%A7%D9%84%D8%AD%D9%83%D9%85%D8%A7%D8%A1_%D8%A7%D9%84%D8%B9%D8%B1%D8%A8
614,١ أجمل الأقوال والحكم عن التأني والعجلة,التأنِّي (اﻷناة),web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
615,٢ أجمل الأقوال والحكم عن الإخلاص,التأنِّي (اﻷناة),web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
616,٣ أجمل الأقوال والحكم عن الرحمة,التأنِّي (اﻷناة),web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
617,٤ أجمل الأقوال والحكم عن العلم,التأنِّي (اﻷناة),web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
656, الصدق، والإخلاص، البساطة والتواضع، والكرم، وغياب الغرور، والقدرة على خدمة الآخرين – وهي صفات في متناول كل نفس هي الأسس الحقيقية لحياتنا الروحية.,التأنِّي (اﻷناة),web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D8%A7%D9%84%D8%A3%D9%82%D9%88%D8%A7%D9%84_%D9%88%D8%A7%D9%84%D8%AD%D9%83%D9%85
709,١ حكم وأمثال وكلام جميل,البشاشةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%88%D9%83%D9%84%D8%A7%D9%85_%D8%AC%D9%85%D9%8A%D9%84
710,٢ فيديو أمثال شعبية مضحكة,البشاشةُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%88%D9%83%D9%84%D8%A7%D9%85_%D8%AC%D9%85%D9%8A%D9%84
831,١ حكم وأمثال معبرة,التوددُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%85%D8%B9%D8%A8%D8%B1%D8%A9
832,٢ حكم وأمثال معبرة عن الأمل,التوددُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%85%D8%B9%D8%A8%D8%B1%D8%A9
833,٣ حكم في العلم,التوددُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%85%D8%B9%D8%A8%D8%B1%D8%A9
834,٤ حكم عن الأخلاق,التوددُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%85%D8%B9%D8%A8%D8%B1%D8%A9
898, لو تعمقنا تعبنا…لو تجاهلنا نعيش.,التوددُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%85%D8%B9%D8%A8%D8%B1%D8%A9
907, أؤمن كثيرا بأن المساحة الفاصلة بين” الحلم والواقع” مجرد دعاء.,التوددُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D9%85%D8%B9%D8%A8%D8%B1%D8%A9
1031,١ أجمل ما قيل عن التواضع,التواضعُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D9%85%D8%A7_%D9%82%D9%8A%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B6%D8%B9
1032,٢ عبارات متنوعة عن التواضع,التواضعُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%A3%D8%AC%D9%85%D9%84_%D9%85%D8%A7_%D9%82%D9%8A%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B6%D8%B9
1277,١ الصبر,التواصي بالخيرُ,web scrapping, Ahmed Adel,https://mawdoo3.com/%D8%AD%D9%83%D9%85_%D9%88%D8%A3%D9%85%D8%AB%D8%A7%D9%84_%D8%B9%D9%86_%D8%A7%D9%84%D8%B5%D8%A8%D8%B1
